menu_fd_Code,menu_fd_Nm,menu_upper_Fd_Group_Nm,menu_fd_Group_Nm,menu_fd_Wgh,ingredient_fd_Code,ingredient_food_Code,ingredient_food_Nm,ingredient_fd_Eng_Nm,ingredient_nation_Std_Food_Grupp_Code_Nm,ingredient_origin_Code_Nm,ingredient_food_Wgh,ingredient_allrgy_Info,ingredient_onslf_Std_Food_Grupp_Nm,ingredient_amplt_Cl_Nm
D011001,눌은밥,,,440.00,D011001,F00093,"즉석밥, 누룽지, 끓는물 부음","Instant cooked rice, Scorched rice(Nurungji), White, Hot water added",곡류 및 그 제품,농진청,440.00,null,null,null
D011002,쌀밥,,,210.00,D011002,F00079,"멥쌀, 백미, 밥","Rice(Ssal), White, Cooked",곡류 및 그 제품,농진청,210.00,null,null,null
D011003,찰밥,,,210.00,D011003,F03123,"찹쌀, 백미, 보람찰, 밥","Rice(Ssal), Glutinous, White, Boramchal, Cooked",곡류 및 그 제품,농진청,210.00,null,null,null
D011004,현미밥,,,210.00,D011004,F00081,"멥쌀, 현미, 밥","Rice(Ssal), Brown, Cooked",곡류 및 그 제품,농진청,210.00,null,null,null
D011006,현미밥,,,160.00,D011006,F00081,"멥쌀, 현미, 밥","Rice(Ssal), Brown, Cooked",곡류 및 그 제품,농진청,160.00,null,null,null
D011007,누룽지(멥쌀),,,100.00,D011007,F00014,메밀묵,"Memilmuk, Buckwheat starch jelly",곡류 및 그 제품,농진청,100.00,메밀,null,null
D011008,흑미밥,,,90.00,D011008,F00017,"멥쌀, 백미, 생것","Rice(Ssal), White, Raw",곡류 및 그 제품,대푯값,70.00,null,null,null
D011008,흑미밥,,,90.00,D011008,F03154,"멥쌀, 현미, 흑미, 생것","Rice(Ssal), Black, Raw",곡류 및 그 제품,농진청,20.00,null,null,null
D011009,발아현미밥,,,100.00,D011009,F00017,"멥쌀, 백미, 생것","Rice(Ssal), White, Raw",곡류 및 그 제품,대푯값,90.00,null,null,null
D011009,발아현미밥,,,100.00,D011009,F00025,"멥쌀, 현미, 발아현미, 생것","Rice(Ssal), Brown, Germinated, Raw",곡류 및 그 제품,농진청,10.00,null,null,null
D011010,흑미현미밥,,,95.00,D011010,F00017,"멥쌀, 백미, 생것","Rice(Ssal), White, Raw",곡류 및 그 제품,대푯값,90.00,null,null,null
D011010,흑미현미밥,,,95.00,D011010,F00025,"멥쌀, 현미, 발아현미, 생것","Rice(Ssal), Brown, Germinated, Raw",곡류 및 그 제품,농진청,3.00,null,null,null
D011010,흑미현미밥,,,95.00,D011010,F03154,"멥쌀, 현미, 흑미, 생것","Rice(Ssal), Black, Raw",곡류 및 그 제품,농진청,2.00,null,null,null
D012001,검정콩밥,,,200.00,D012001,F00467,"대두, 검은색, 흑태, 삶은것","Soybean, Black, Heuktae, Boiled",두류,농진청,20.00,대두(콩),null,null
D012001,검정콩밥,,,200.00,D012001,F00079,"멥쌀, 백미, 밥","Rice(Ssal), White, Cooked",곡류 및 그 제품,농진청,180.00,null,null,null
D012002,기장밥,,,205.00,D012002,F00004,"기장, 도정, 생것","Proso millet(Gijang), Polished, Raw",곡류 및 그 제품,농진청,5.00,null,null,null
D012002,기장밥,,,205.00,D012002,F00079,"멥쌀, 백미, 밥","Rice(Ssal), White, Cooked",곡류 및 그 제품,농진청,200.00,null,null,null
D012003,녹두밥,,,210.00,D012003,F00427,"녹두, 삶은것","Mungbean(Nokdu), Boiled",두류,농진청,10.00,null,null,null
D012003,녹두밥,,,210.00,D012003,F00079,"멥쌀, 백미, 밥","Rice(Ssal), White, Cooked",곡류 및 그 제품,농진청,190.00,null,null,null
D012003,녹두밥,,,210.00,D012003,F03123,"찹쌀, 백미, 보람찰, 밥","Rice(Ssal), Glutinous, White, Boramchal, Cooked",곡류 및 그 제품,농진청,10.00,null,null,null
D012004,땅콩밥,,,200.00,D012004,F00498,"땅콩, 삶은것, 소금첨가","Peanut(Ttangkong), Boiled, With salt",견과 및 종실류,USDA,10.00,땅콩,null,null
D012004,땅콩밥,,,200.00,D012004,F00079,"멥쌀, 백미, 밥","Rice(Ssal), White, Cooked",곡류 및 그 제품,농진청,190.00,null,null,null
