no,fd_Code,upper_Fd_Grupp_Nm,fd_Grupp_Nm,fd_Nm,fd_Wgh,food_Cnt
1,D011001,밥류,쌀밥,눌은밥,440.00,1
2,D011002,밥류,쌀밥,쌀밥,210.00,1
3,D011003,밥류,쌀밥,찰밥,210.00,1
4,D011004,밥류,쌀밥,현미밥,210.00,1
5,D011006,밥류,쌀밥,현미밥,160.00,1
6,D011007,밥류,쌀밥,누룽지(멥쌀),100.00,1
7,D011008,밥류,쌀밥,흑미밥,90.00,2
8,D011009,밥류,쌀밥,발아현미밥,100.00,2
9,D011010,밥류,쌀밥,흑미현미밥,95.00,3
10,D012001,밥류,잡곡밥류,검정콩밥,200.00,2
11,D012002,밥류,잡곡밥류,기장밥,205.00,2
12,D012003,밥류,잡곡밥류,녹두밥,210.00,3
13,D012004,밥류,잡곡밥류,땅콩밥,200.00,2
14,D012005,밥류,잡곡밥류,밤밥,210.00,2
15,D012006,밥류,잡곡밥류,보리밥,200.00,2
16,D012007,밥류,잡곡밥류,보리밥(강낭콩),210.00,3
17,D012008,밥류,잡곡밥류,보리밥(조),200.00,3
18,D012009,밥류,잡곡밥류,보리밥(팥),200.00,3
19,D012010,밥류,잡곡밥류,수수밥,200.00,2
20,D012011,밥류,잡곡밥류,쑥밥,230.00,2
21,D012012,밥류,잡곡밥류,약식,197.00,7
22,D012013,밥류,잡곡밥류,오곡밥,206.00,8
23,D012014,밥류,잡곡밥류,옥수수밥,210.00,2
24,D012015,밥류,잡곡밥류,완두콩밥,200.00,3
25,D012016,밥류,잡곡밥류,율무밥,200.00,3
26,D012017,밥류,잡곡밥류,잡곡밥(강낭콩),208.00,3
27,D012018,밥류,잡곡밥류,잡곡밥(옥수수),180.00,5
28,D012019,밥류,잡곡밥류,잡곡밥(팥),220.00,4
29,D012020,밥류,잡곡밥류,조밥,190.00,2
30,D012021,밥류,잡곡밥류,차수수밥,180.00,3
31,D012022,밥류,잡곡밥류,차조밥,180.00,3
32,D012023,밥류,잡곡밥류,찰밥(멥쌀),200.00,2
33,D012024,밥류,잡곡밥류,찰밥(수수),180.00,3
34,D012025,밥류,잡곡밥류,콩밥,190.00,3
35,D012026,밥류,잡곡밥류,팥밥,210.00,2
36,D012027,밥류,잡곡밥류,귀리누룽지,70.00,2
37,D012029,밥류,잡곡밥류,귀리밥,190.00,2
38,D012034,밥류,잡곡밥류,보리고구마밥,158.00,3
39,D012037,밥류,잡곡밥류,양주밤밥,186.00,4
40,D012043,밥류,잡곡밥류,조감자밥,300.00,2
41,D012047,밥류,잡곡밥류,보리옥수수밥,120.00,3
42,D012048,밥류,잡곡밥류,보리옥수수밥,169.90,3
43,D012049,밥류,잡곡밥류,잡곡밥,200.10,8
44,D012050,밥류,잡곡밥류,잡곡밥,270.10,8
45,D012051,밥류,잡곡밥류,귀리밥,140.00,2
46,D012052,밥류,잡곡밥류,보리고구마밥,342.00,3
47,D012053,밥류,잡곡밥류,옥수수밥,180.00,2
48,D012054,밥류,잡곡밥류,잡곡밥(강낭콩),88.60,3
49,D012055,밥류,잡곡밥류,귀리누룽지,175.00,2
50,D012056,밥류,잡곡밥류,보리고구마밥,144.80,3
51,D012057,밥류,잡곡밥류,귀리밥,168.50,2
52,D012058,밥류,잡곡밥류,귀리영양밥,190.00,7
53,D012059,밥류,잡곡밥류,기장 영양밥,210.00,17
54,D012060,밥류,잡곡밥류,대추영양밥,289.00,15
55,D012061,밥류,잡곡밥류,상추쌈보리밥,270.00,7
56,D012062,밥류,잡곡밥류,영양찰밥 품은 팥,170.50,6
57,D012063,밥류,잡곡밥류,오곡밥,194.00,8
58,D012064,밥류,잡곡밥류,오곡연잎밥,207.70,10
59,D012065,밥류,잡곡밥류,옥수수영양밥,262.80,11
60,D012066,밥류,잡곡밥류,강낭콩밥,100.00,2
61,D012067,밥류,잡곡밥류,꽁보리밥,80.00,2
62,D012068,밥류,잡곡밥류,늘보리밥,90.00,2
63,D012069,밥류,잡곡밥류,동부콩밥,100.00,2
64,D012070,밥류,잡곡밥류,렌틸콩밥,90.00,3
65,D012071,밥류,잡곡밥류,모듬콩밥,65.00,3
66,D012072,밥류,잡곡밥류,서리태밥,102.00,3
67,D012073,밥류,잡곡밥류,오곡찰밥,129.10,7
68,D012074,밥류,잡곡밥류,찰보리밥,80.00,2
69,D012075,밥류,잡곡밥류,찰현미밥,100.00,2
70,D012076,밥류,잡곡밥류,귀리수수밥,96.00,3
71,D012077,밥류,잡곡밥류,귀리차조밥,96.00,3
72,D012078,밥류,잡곡밥류,귀리현미밥,88.00,3
73,D012079,밥류,잡곡밥류,기장보리밥,98.00,3
74,D012080,밥류,잡곡밥류,기장현미밥,98.00,3
75,D012081,밥류,잡곡밥류,대추밤찰밥,130.00,5
76,D012082,밥류,잡곡밥류,더덕영양밥,124.00,5
77,D012083,밥류,잡곡밥류,병아리콩밥,90.00,2
78,D012084,밥류,잡곡밥류,보리현미밥,110.00,3
79,D012085,밥류,잡곡밥류,수수현미밥,93.00,3
80,D012086,밥류,잡곡밥류,옥수수콩밥,95.00,3
81,D012087,밥류,잡곡밥류,차조기장밥,106.00,3
82,D012088,밥류,잡곡밥류,차조현미밥,98.00,3
83,D012089,밥류,잡곡밥류,찰옥수수밥,140.00,3
84,D012090,밥류,잡곡밥류,찹쌀기장밥,60.00,3
85,D012091,밥류,잡곡밥류,찹쌀녹두밥,67.00,3
86,D012092,밥류,잡곡밥류,찹쌀차조밥,108.00,3
87,D012093,밥류,잡곡밥류,찹쌀현미밥,108.00,3
88,D012094,밥류,잡곡밥류,현미기장밥,90.00,3
89,D012095,밥류,잡곡밥류,현미수수밥,100.00,3
90,D012096,밥류,잡곡밥류,현미찹쌀밥,100.00,3
91,D012097,밥류,잡곡밥류,현미흑미밥,90.00,3
92,D012098,밥류,잡곡밥류,흑미차조밥,96.00,3
93,D012099,밥류,잡곡밥류,강낭콩현미밥,125.00,3
94,D012100,밥류,잡곡밥류,서리태보리밥,97.00,4
95,D012101,밥류,잡곡밥류,서리태흑미밥,104.00,4
96,D012102,밥류,잡곡밥류,옥수수기장밥,93.00,3
97,D012103,밥류,잡곡밥류,옥수수차조밥,103.00,3
98,D012104,밥류,잡곡밥류,찹쌀검정콩밥,90.00,3
99,D012105,밥류,잡곡밥류,찹쌀서리태밥,113.00,3
100,D012106,밥류,잡곡밥류,연근흑미영양밥,156.00,8
101,D012107,밥류,잡곡밥류,도라지전복영양밥,156.00,8
102,D012108,밥류,잡곡밥류,렌틸콩발아현미밥,110.00,3
103,D012109,밥류,잡곡밥류,흑미초당옥수수밥,100.00,3
104,D012110,밥류,잡곡밥류,잡곡밥(검정콩밥),88.00,2
105,D012111,밥류,잡곡밥류,잡곡밥(병아리콩),90.00,2
106,D012112,밥류,잡곡밥류,잡곡밥(찹쌀흑미),110.00,2
107,D012113,밥류,잡곡밥류,오곡밥(대보름),120.00,6
108,D012114,밥류,잡곡밥류,잡곡밥(완두콩),105.00,3
109,D012115,밥류,잡곡밥류,잡곡밥(차수수),98.00,3
110,D012116,밥류,잡곡밥류,잡곡밥(보리),105.00,2
111,D012117,밥류,잡곡밥류,잡곡밥(차조),110.00,2
112,D012118,밥류,잡곡밥류,잡곡밥(혼합),90.00,4
113,D012119,밥류,잡곡밥류,잡곡(녹두)밥,100.00,2
114,D012120,밥류,잡곡밥류,크렌베리귀리밥,185.00,3
115,D013001,밥류,채소밥류,감자밥,220.50,4
116,D013002,밥류,채소밥류,고구마밥,210.00,2
117,D013003,밥류,채소밥류,야채밥,225.00,10
118,D013004,밥류,채소밥류,야채밥(치즈),235.00,11
119,D013005,밥류,채소밥류,콩나물밥,254.00,10
120,D013007,밥류,채소밥류,김치밥,365.00,4
121,D013010,밥류,채소밥류,마밥,240.00,2
122,D013012,밥류,채소밥류,무밥,287.50,8
123,D013014,밥류,채소밥류,버섯밥,250.50,8
124,D013019,밥류,채소밥류,감자밥,136.70,4
125,D013020,밥류,채소밥류,감자밥,209.90,4
126,D013021,밥류,채소밥류,감자밥,240.00,2
127,D013022,밥류,채소밥류,콩나물밥,250.10,9
128,D013023,밥류,채소밥류,깻잎 소고기 쌈밥,296.10,9
129,D013024,밥류,채소밥류,단호박약식,99.30,10
130,D013025,밥류,채소밥류,시래기 영양밥,266.00,15
131,D013026,밥류,채소밥류,연근 연잎밥,197.20,11
132,D013027,밥류,채소밥류,죽순영양밥,267.40,17
133,D013028,밥류,채소밥류,가지밥,95.00,9
134,D013029,밥류,채소밥류,곤드레밥,138.30,7
135,D013030,밥류,채소밥류,취나물밥,108.00,5
136,D013031,밥류,채소밥류,가지표고밥,152.20,7
137,D013032,밥류,채소밥류,두릅영양밥,134.00,5
138,D013033,밥류,채소밥류,은행영양밥,108.20,9
139,D013034,밥류,채소밥류,콩나물국밥,209.30,9
140,D013035,밥류,채소밥류,곤드레나물밥,124.00,8
141,D013036,밥류,채소밥류,단호박은행밥,95.00,4
142,D013037,밥류,채소밥류,취나물영양밥,181.00,6
143,D013038,밥류,채소밥류,뿌리채소영양밥,156.00,9
144,D013039,밥류,채소밥류,뿌리채소은행밥,90.00,6
145,D013040,밥류,채소밥류,소고기콩나물밥,126.60,7
146,D013041,밥류,채소밥류,아주까리나물밥,141.00,11
147,D013042,밥류,채소밥류,표고버섯콩나물밥,131.60,6
148,D013043,밥류,채소밥류,뿌리채소버섯영양밥,152.00,10
149,D013044,밥류,채소밥류,단호박약식,439.00,8
150,D013045,밥류,채소밥류,울금해초밥,180.00,10
151,D013046,밥류,채소밥류,강황고구마밥,535.00,9
152,D013047,밥류,채소밥류,버섯곤드레밥,241.00,11
153,D014001,밥류,비빔밥 및 볶음밥류,김치볶음밥(돼지고기),357.00,11
154,D014002,밥류,비빔밥 및 볶음밥류,김치볶음밥(콩나물),280.50,7
155,D014003,밥류,비빔밥 및 볶음밥류,비빔밥(고추장),333.50,11
156,D014004,밥류,비빔밥 및 볶음밥류,"비빔밥(고추장, 돼지고기)",324.50,14
157,D014005,밥류,비빔밥 및 볶음밥류,"비빔밥(고추장, 소고기)",415.00,10
158,D014006,밥류,비빔밥 및 볶음밥류,산채비빔밥(고추장),333.50,11
159,D014007,밥류,비빔밥 및 볶음밥류,소고기볶음밥,341.00,13
160,D014008,밥류,비빔밥 및 볶음밥류,"열무비빔밥(고추장, 소고기)",309.00,10
161,D014009,밥류,비빔밥 및 볶음밥류,영양돌솥밥,240.00,6
162,D014010,밥류,비빔밥 및 볶음밥류,오므라이스,396.00,10
163,D014011,밥류,비빔밥 및 볶음밥류,콩나물비빔밥(소고기),333.00,9
164,D014012,밥류,비빔밥 및 볶음밥류,해초비빔밥(고추장),325.00,11
165,D014019,밥류,비빔밥 및 볶음밥류,비빔밥,500.00,15
166,D014026,밥류,비빔밥 및 볶음밥류,육회비빔밥,549.00,19
167,D014036,밥류,비빔밥 및 볶음밥류,김치볶음밥(콩나물),220.00,7
168,D014037,밥류,비빔밥 및 볶음밥류,겨자소스를 곁들인 영양밥 강정,264.10,20
169,D014038,밥류,비빔밥 및 볶음밥류,귀리토마토리소토,355.90,8
170,D014039,밥류,비빔밥 및 볶음밥류,닭가슴살 곤드레밥,288.30,13
171,D014040,밥류,비빔밥 및 볶음밥류,바지락비빔밥,338.00,12
172,D014041,밥류,비빔밥 및 볶음밥류,양배추 볶음밥,326.70,10
173,D014042,밥류,비빔밥 및 볶음밥류,열무김치 불고기비빔밥,365.55,17
174,D014043,밥류,비빔밥 및 볶음밥류,율무볶음밥,238.95,11
175,D014044,밥류,비빔밥 및 볶음밥류,참나물불고기비빔밥,349.05,19
176,D014045,밥류,비빔밥 및 볶음밥류,비빔밥,321.50,15
177,D014046,밥류,비빔밥 및 볶음밥류,간장달걀밥,190.00,8
178,D014047,밥류,비빔밥 및 볶음밥류,게살볶음밥,103.50,9
